BOTTLE,20010917WHPSIOSCD
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20010917
#original HYD file: a16shy.txt   Mon Sep 17 08:37:13 2001
#original SUM file: a16ssu.txt   Mon Sep 17 08:37:13 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,DEG C
     318MSAVE5,  A16S,   236,  1,     21,     21,2,19890127,0022,-36.0017,   0.9850, 4949,   2139.4,   2.6514,  34.7811,2,  34.7810,2,    206.4,2,    58.84,2,    27.76,2,     0.01,2,     1.90,2, -999.000,9, -999.000,9,  2.4921
     318MSAVE5,  A16S,   236,  1,     22,     22,2,19890127,0022,-36.0017,   0.9850, 4949,   2481.0,   2.5403,  34.8214,2,  34.8220,2,    219.4,2,    56.20,2,    25.90,2,     0.01,2,     1.86,2, -999.000,9, -999.000,9,  2.3511
     318MSAVE5,  A16S,   236,  1,     23,     23,2,19890127,0022,-36.0017,   0.9850, 4949,   2639.5,   2.4723,  34.8297,2,  34.8290,2,    223.3,2,    56.00,2,    25.51,2,     0.01,2,     1.75,2,    0.005,6,   -0.001,6,  2.2692
     318MSAVE5,  A16S,   236,  1,     24,     24,2,19890127,0022,-36.0017,   0.9850, 4949,   2809.0,   2.3985,  34.8355,2,  34.8350,2,    225.9,2,    56.39,2,    25.31,2,     0.01,2,     1.74,2, -999.000,9, -999.000,9,  2.1803
     318MSAVE5,  A16S,   236,  1,     25,     25,2,19890127,0022,-36.0017,   0.9850, 4949,   3012.2,   2.3287,  34.8438,2,  34.8430,2,    232.0,2,    56.29,2,    24.82,2,     0.01,2,     1.68,2, -999.000,9, -999.000,9,  2.0917
     318MSAVE5,  A16S,   236,  1,     26,     26,2,19890127,0022,-36.0017,   0.9850, 4949,   3104.0,   2.3013,  34.8459,2,  34.8440,2,    232.9,2,    57.56,2,    24.73,2,     0.01,2,     1.68,2, -999.000,9, -999.000,9,  2.0556
     318MSAVE5,  A16S,   236,  1,     27,     27,2,19890127,0022,-36.0017,   0.9850, 4949,   3335.4,   2.2039,  34.8427,2,  34.8440,2,    231.6,2,    60.89,2,    25.12,2,     0.01,2,     1.70,2, -999.000,9, -999.000,9,  1.9366
     318MSAVE5,  A16S,   236,  1,     28,     28,2,19890127,0022,-36.0017,   0.9850, 4949,   3584.2,   1.9836,  34.8226,2,  34.8210,2,    227.7,2,    70.37,2,    26.29,2,     0.01,2,     1.78,2,    0.003,2,   -0.002,2,  1.6957
     318MSAVE5,  A16S,   236,  1,     29,     29,2,19890127,0022,-36.0017,   0.9850, 4949,   3823.9,   1.6070,  34.7823,2,  34.7820,2,    221.6,2,    84.54,2,    28.25,2,     0.01,2,     1.93,2, -999.000,9, -999.000,9,  1.3035
     318MSAVE5,  A16S,   236,  1,     30,     30,2,19890127,0022,-36.0017,   0.9850, 4949,   3985.1,   1.3899,  34.7621,2,  34.7620,2,    219.9,2,    93.14,2,    29.13,2,     0.01,2,     2.00,2, -999.000,9, -999.000,9,  1.0753
     318MSAVE5,  A16S,   236,  1,     31,     31,2,19890127,0022,-36.0017,   0.9850, 4949,   4188.2,   1.2057,  34.7441,2,  34.7440,2,    218.1,2,   102.23,2,    30.10,2,     0.01,2,     2.06,2, -999.000,9, -999.000,9,  0.8743
     318MSAVE5,  A16S,   236,  1,     32,     32,2,19890127,0022,-36.0017,   0.9850, 4949,   4415.0,   1.1094,  34.7345,2,  34.7340,2,    217.7,2,   106.83,2,    30.69,2,     0.01,2,     2.10,2,    0.004,2,    0.001,2,  0.7558
     318MSAVE5,  A16S,   236,  1,     33,     33,2,19890127,0022,-36.0017,   0.9850, 4949,   4619.3,   1.0863,  34.7310,2,-999.0000,9,    217.7,2,   108.39,2,    30.89,2,     0.00,2,     2.10,2, -999.000,9, -999.000,9,  0.7103
     318MSAVE5,  A16S,   236,  1,     34,     34,2,19890127,0022,-36.0017,   0.9850, 4949,   4929.0,   1.0891,  34.7282,2,  34.7290,2,    217.7,2,   108.10,2,    31.08,2,     0.00,2,     2.12,2, -999.000,9, -999.000,9,  0.6769
     318MSAVE5,  A16S,   236,  1,     35,     35,2,19890127,0022,-36.0017,   0.9850, 4949,   4982.7,   1.0929,  34.7277,2,  34.7270,2,    217.7,2,   107.41,2,    31.08,2,     0.00,2,     2.12,2, -999.000,9, -999.000,9,  0.6742
     318MSAVE5,  A16S,   236,  1,     36,     36,2,19890127,0022,-36.0017,   0.9850, 4949,   5034.3,   1.0978,  34.7278,2,  34.7290,2,    217.7,2,   108.20,2,    31.18,2,     0.00,2,     2.13,2,    0.007,6,    0.000,6,  0.6728
     318MSAVE5,  A16S,   237,  1,      1,      1,2,19890201,1345,-32.4933, -24.9850, 4148,      3.4,  22.4242,  35.6509,2,-999.0000,9,    226.1,2,     1.47,2,     0.29,2,     0.00,2,     0.09,2,    1.930,2,    1.011,2, 22.4235
     318MSAVE5,  A16S,   237,  1,      2,      2,2,19890201,1345,-32.4933, -24.9850, 4148,     22.0,  21.8333,  35.6469,2,-999.0000,9,    229.4,2,     1.47,2,     0.29,2,     0.00,2,     0.08,2, -999.000,9, -999.000,9, 21.8290
     318MSAVE5,  A16S,   237,  1,      3,      3,2,19890201,1345,-32.4933, -24.9850, 4148,     51.1,  18.6389,  35.5794,2,-999.0000,9,    251.7,2,     1.47,2,     0.29,2,     0.00,2,     0.11,2,    2.242,2,    1.150,2, 18.6299
     318MSAVE5,  A16S,   237,  1,      4,      4,2,19890201,1345,-32.4933, -24.9850, 4148,     63.1,  17.3043,  35.5762,2,-999.0000,9,    256.9,2,     1.37,2,     0.29,2,     0.00,2,     0.14,2, -999.000,9, -999.000,9, 17.2938
