BOTTLE,20020821WHPSIO
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020821
#original HYD file: a16nhy.txt   Wed Aug 21 13:33:22 2002
#original SUM file: a16nsu.txt   Wed Aug 21 13:34:13 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,CTDOXY,OXYGEN,SILCAT,NITRAT,NITRIT,PHSPHT,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,DBAR,IPTS-68,PSS-78,PSS-78,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,PMOL/KG,,PMOL/KG,,IPTS-68
     32OC202_1,  A16N,     2,  1,     19,     19,19880723,2300, 63.2100, -20.0050,  621,    453.6,   7.0580,-999.0000,  35.1360,   -999.0,    268.2,  -999.00,  -999.00,  -999.00,  -999.00,    3.384,2,    1.589,2,  7.0140
     32OC202_1,  A16N,     2,  1,     20,     20,19880723,2300, 63.2100, -20.0050,  621,    505.7,   6.9490,-999.0000,  35.1280,   -999.0,    263.4,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.9000
     32OC202_1,  A16N,     2,  1,     21,     21,19880723,2300, 63.2100, -20.0050,  621,    546.1,   6.8470,-999.0000,  35.1260,   -999.0,    264.7,  -999.00,  -999.00,  -999.00,  -999.00,    3.214,2,    1.464,2,  6.7950
     32OC202_1,  A16N,     2,  1,     22,     22,19880723,2300, 63.2100, -20.0050,  621,    581.2,   6.7490,-999.0000,  35.1190,   -999.0,    264.2,  -999.00,  -999.00,  -999.00,  -999.00,    3.192,2,    1.497,2,  6.6940
     32OC202_1,  A16N,     2,  1,     23,     23,19880723,2300, 63.2100, -20.0050,  621,    606.2,   6.7190,-999.0000,  35.1190,   -999.0,    264.7,  -999.00,  -999.00,  -999.00,  -999.00,    3.150,2,    1.491,2,  6.6610
     32OC202_1,  A16N,     2,  1,     24,     24,19880723,2300, 63.2100, -20.0050,  621,    633.5,   6.5760,-999.0000,  35.1100,   -999.0,    261.6,  -999.00,  -999.00,  -999.00,  -999.00,    3.126,2,    1.431,2,  6.5160
     32OC202_1,  A16N,     2,  1,     99,   -999,19880723,2300, 63.2100, -20.0050,  621,    634.1,   6.5790,  35.1100,-999.0000,   -999.0,   -999.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.5200
     32OC202_1,  A16N,     3,  1,      3,      3,19880724,0054, 63.1333, -20.0067,  927,      7.7,  10.9740,-999.0000,  35.0390,   -999.0,    281.8,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9, 10.9730
     32OC202_1,  A16N,     3,  1,      4,      4,19880724,0054, 63.1333, -20.0067,  927,     32.9,   9.2200,-999.0000,  35.0810,   -999.0,    282.6,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  9.2170
     32OC202_1,  A16N,     3,  1,      5,      5,19880724,0054, 63.1333, -20.0067,  927,     63.1,   8.3460,-999.0000,  35.1050,   -999.0,    276.0,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  8.3400
     32OC202_1,  A16N,     3,  1,      6,      6,19880724,0054, 63.1333, -20.0067,  927,    154.1,   7.5310,-999.0000,  35.1370,   -999.0,    270.8,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.5160
     32OC202_1,  A16N,     3,  1,      7,      7,19880724,0054, 63.1333, -20.0067,  927,    204.5,   7.3600,-999.0000,  35.1410,   -999.0,    270.3,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.3410
     32OC202_1,  A16N,     3,  1,      8,      8,19880724,0054, 63.1333, -20.0067,  927,    254.8,   7.2590,-999.0000,  35.1410,   -999.0,    270.8,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.2350
     32OC202_1,  A16N,     3,  1,      9,      9,19880724,0054, 63.1333, -20.0067,  927,    305.3,   7.2000,-999.0000,  35.1400,   -999.0,    268.6,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.1710
     32OC202_1,  A16N,     3,  1,     10,     10,19880724,0054, 63.1333, -20.0067,  927,    356.2,   7.1280,-999.0000,  35.1360,   -999.0,    268.2,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.0940
     32OC202_1,  A16N,     3,  1,     11,     11,19880724,0054, 63.1333, -20.0067,  927,    406.5,   7.0690,-999.0000,  35.1350,   -999.0,    268.2,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.0300
     32OC202_1,  A16N,     3,  1,     12,     12,19880724,0054, 63.1333, -20.0067,  927,    457.0,   6.9470,-999.0000,  35.1290,   -999.0,    266.4,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.9030
